2025-07-17 11:19:02 - INFO - app - 📆 date_range 모드: 총 22일 간 데이터 조회 예정 → [datetime.datetime(2025, 6, 10, 0, 0), datetime.datetime(2025, 6, 11, 0, 0), datetime.datetime(2025, 6, 12, 0, 0), datetime.datetime(2025, 6, 13, 0, 0), datetime.datetime(2025, 6, 14, 0, 0), datetime.datetime(2025, 6, 17, 0, 0), datetime.datetime(2025, 6, 18, 0, 0), datetime.datetime(2025, 6, 19, 0, 0), datetime.datetime(2025, 6, 20, 0, 0), datetime.datetime(2025, 6, 21, 0, 0), datetime.datetime(2025, 6, 24, 0, 0), datetime.datetime(2025, 6, 25, 0, 0), datetime.datetime(2025, 6, 26, 0, 0), datetime.datetime(2025, 6, 27, 0, 0), datetime.datetime(2025, 6, 28, 0, 0), datetime.datetime(2025, 6, 29, 0, 0), datetime.datetime(2025, 6, 30, 0, 0), datetime.datetime(2025, 7, 1, 0, 0), datetime.datetime(2025, 7, 2, 0, 0), datetime.datetime(2025, 7, 3, 0, 0), datetime.datetime(2025, 7, 4, 0, 0), datetime.datetime(2025, 7, 5, 0, 0)]
2025-07-17 11:20:54 - INFO - app - Saved model for step 189 → Model/v2/lgbm_step_189.pkl
2025-07-17 11:20:54 - INFO - app - Saved model for step 190 → Model/v2/lgbm_step_190.pkl
2025-07-17 11:20:54 - INFO - app - Saved model for step 191 → Model/v2/lgbm_step_191.pkl
2025-07-17 11:20:55 - INFO - app - Saved model for step 192 → Model/v2/lgbm_step_192.pkl
2025-07-17 11:20:55 - INFO - app - Saved model for step 193 → Model/v2/lgbm_step_193.pkl
2025-07-17 11:20:56 - INFO - app - Saved model for step 194 → Model/v2/lgbm_step_194.pkl
2025-07-17 11:20:56 - INFO - app - Saved model for step 195 → Model/v2/lgbm_step_195.pkl
2025-07-17 11:20:56 - INFO - app - Saved model for step 196 → Model/v2/lgbm_step_196.pkl
2025-07-17 11:20:57 - INFO - app - Saved model for step 197 → Model/v2/lgbm_step_197.pkl
2025-07-17 11:20:57 - INFO - app - Saved model for step 198 → Model/v2/lgbm_step_198.pkl
2025-07-17 11:20:58 - INFO - app - Saved model for step 199 → Model/v2/lgbm_step_199.pkl
2025-07-17 11:20:58 - INFO - app - Saved model for step 200 → Model/v2/lgbm_step_200.pkl
2025-07-17 11:20:58 - INFO - app - Saved model for step 201 → Model/v2/lgbm_step_201.pkl
2025-07-17 11:20:59 - INFO - app - Saved model for step 202 → Model/v2/lgbm_step_202.pkl
2025-07-17 11:20:59 - INFO - app - Saved model for step 203 → Model/v2/lgbm_step_203.pkl
2025-07-17 11:20:59 - INFO - app - Saved model for step 204 → Model/v2/lgbm_step_204.pkl
2025-07-17 11:21:00 - INFO - app - Saved model for step 205 → Model/v2/lgbm_step_205.pkl
2025-07-17 11:21:00 - INFO - app - Saved model for step 206 → Model/v2/lgbm_step_206.pkl
2025-07-17 11:21:01 - INFO - app - Saved model for step 207 → Model/v2/lgbm_step_207.pkl
2025-07-17 11:21:01 - INFO - app - Saved model for step 208 → Model/v2/lgbm_step_208.pkl
2025-07-17 11:21:01 - INFO - app - Saved model for step 209 → Model/v2/lgbm_step_209.pkl
2025-07-17 11:21:02 - INFO - app - Saved model for step 210 → Model/v2/lgbm_step_210.pkl
2025-07-17 11:21:02 - INFO - app - Saved model for step 211 → Model/v2/lgbm_step_211.pkl
2025-07-17 11:21:02 - INFO - app - Saved model for step 212 → Model/v2/lgbm_step_212.pkl
2025-07-17 11:21:03 - INFO - app - Saved model for step 213 → Model/v2/lgbm_step_213.pkl
2025-07-17 11:21:03 - INFO - app - Saved model for step 214 → Model/v2/lgbm_step_214.pkl
2025-07-17 11:21:04 - INFO - app - Saved model for step 215 → Model/v2/lgbm_step_215.pkl
2025-07-17 11:21:04 - INFO - app - Saved model for step 216 → Model/v2/lgbm_step_216.pkl
2025-07-17 11:21:05 - INFO - app - Saved model for step 217 → Model/v2/lgbm_step_217.pkl
2025-07-17 11:21:05 - INFO - app - Saved model for step 218 → Model/v2/lgbm_step_218.pkl
2025-07-17 11:21:05 - INFO - app - Saved model for step 219 → Model/v2/lgbm_step_219.pkl
2025-07-17 11:21:06 - INFO - app - Saved model for step 220 → Model/v2/lgbm_step_220.pkl
2025-07-17 11:21:06 - INFO - app - Saved model for step 221 → Model/v2/lgbm_step_221.pkl
2025-07-17 11:21:07 - INFO - app - Saved model for step 222 → Model/v2/lgbm_step_222.pkl
2025-07-17 11:21:07 - INFO - app - Saved model for step 223 → Model/v2/lgbm_step_223.pkl
2025-07-17 11:21:07 - INFO - app - Saved model for step 224 → Model/v2/lgbm_step_224.pkl
2025-07-17 11:21:08 - INFO - app - Saved model for step 225 → Model/v2/lgbm_step_225.pkl
2025-07-17 11:21:08 - INFO - app - Saved model for step 226 → Model/v2/lgbm_step_226.pkl
2025-07-17 11:21:09 - INFO - app - Saved model for step 227 → Model/v2/lgbm_step_227.pkl
2025-07-17 11:21:09 - INFO - app - Saved model for step 228 → Model/v2/lgbm_step_228.pkl
2025-07-17 11:21:09 - INFO - app - Saved model for step 229 → Model/v2/lgbm_step_229.pkl
2025-07-17 11:21:10 - INFO - app - Saved model for step 230 → Model/v2/lgbm_step_230.pkl
2025-07-17 11:21:10 - INFO - app - Saved model for step 231 → Model/v2/lgbm_step_231.pkl
2025-07-17 11:21:11 - INFO - app - Saved model for step 232 → Model/v2/lgbm_step_232.pkl
2025-07-17 11:21:11 - INFO - app - Saved model for step 233 → Model/v2/lgbm_step_233.pkl
2025-07-17 11:21:11 - INFO - app - Saved model for step 234 → Model/v2/lgbm_step_234.pkl
2025-07-17 11:21:12 - INFO - app - Saved model for step 235 → Model/v2/lgbm_step_235.pkl
2025-07-17 11:21:12 - INFO - app - Saved model for step 236 → Model/v2/lgbm_step_236.pkl
2025-07-17 11:21:13 - INFO - app - Saved model for step 237 → Model/v2/lgbm_step_237.pkl
2025-07-17 11:21:13 - INFO - app - Saved model for step 238 → Model/v2/lgbm_step_238.pkl
2025-07-17 11:21:14 - INFO - app - Saved model for step 239 → Model/v2/lgbm_step_239.pkl
2025-07-17 11:21:14 - INFO - app - Saved model for step 240 → Model/v2/lgbm_step_240.pkl
2025-07-17 11:21:14 - INFO - app - Saved model for step 241 → Model/v2/lgbm_step_241.pkl
2025-07-17 11:21:15 - INFO - app - Saved model for step 242 → Model/v2/lgbm_step_242.pkl
2025-07-17 11:21:15 - INFO - app - Saved model for step 243 → Model/v2/lgbm_step_243.pkl
2025-07-17 11:21:16 - INFO - app - Saved model for step 244 → Model/v2/lgbm_step_244.pkl
2025-07-17 11:21:16 - INFO - app - Saved model for step 245 → Model/v2/lgbm_step_245.pkl
2025-07-17 11:21:16 - INFO - app - Saved model for step 246 → Model/v2/lgbm_step_246.pkl
